city;city_ibge_code;confirmed;confirmed_per_100k_inhabitants;date;death_rate;deaths;estimated_population_2019;is_last;order_for_place;place_type;state
Miracema;3303005;    63; 231,83926;2020-06-14;0,0000;   0;   27174;FALSE; 46;city;RJ
Natividade;3303104;    72; 470,06594;2020-06-14;0,0139;   1;   15317;FALSE; 38;city;RJ
NilÃ³polis;3303203;   485; 298,48909;2020-06-14;0,1134;  55;  162485;FALSE; 73;city;RJ
NiterÃ³i;3303302;  4572; 890,21465;2020-06-14;0,0319; 146;  513584;FALSE; 91;city;RJ
Nova Friburgo;3303401;   291; 152,65093;2020-06-14;0,0962;  28;  190631;FALSE; 72;city;RJ
Nova IguaÃ§u;3303500;  2557; 311,40090;2020-06-14;0,1087; 278;  821128;FALSE; 79;city;RJ
Paracambi;3303609;   304; 581,74025;2020-06-14;0,0592;  18;   52257;FALSE; 66;city;RJ
ParaÃ­ba do Sul;3303708;   197; 444,84588;2020-06-14;0,0406;   8;   44285;FALSE; 72;city;RJ
Paraty;3303807;   146; 338,23700;2020-06-14;0,0479;   7;   43165;FALSE; 67;city;RJ
Paty do Alferes;3303856;    33; 118,83755;2020-06-14;0,1212;   4;   27769;FALSE; 67;city;RJ
PetrÃ³polis;3303906;   673; 219,79745;2020-06-14;0,0951;  64;  306191;FALSE; 86;city;RJ
Pinheiral;3303955;    85; 337,89156;2020-06-14;0,0118;   1;   25156;FALSE; 58;city;RJ
PiraÃ­;3304003;   150; 512,34758;2020-06-14;0,0400;   6;   29277;FALSE; 64;city;RJ
PorciÃºncula;3304102;    56; 297,12952;2020-06-14;0,0179;   1;   18847;FALSE; 73;city;RJ
Porto Real;3304110;    26; 132,09368;2020-06-14;0,0000;   0;   19683;FALSE; 69;city;RJ
Quatis;3304128;    16; 111,87247;2020-06-14;0,0000;   0;   14302;FALSE; 69;city;RJ
Queimados;3304144;  1301; 865,49272;2020-06-14;0,0154;  20;  150319;FALSE; 77;city;RJ
QuissamÃ£;3304151;   126; 510,12146;2020-06-14;0,0079;   1;   24700;FALSE; 61;city;RJ
Resende;3304201;   275; 209,37864;2020-06-14;0,0691;  19;  131341;FALSE; 82;city;RJ
Rio Bonito;3304300;   284; 471,75296;2020-06-14;0,0458;  13;   60201;FALSE; 77;city;RJ
Rio Claro;3304409;    93; 501,91592;2020-06-14;0,0000;   0;   18529;FALSE; 30;city;RJ
Rio das Flores;3304508;     6;  64,62732;2020-06-14;0,1667;   1;    9284;FALSE; 68;city;RJ
Rio das Ostras;3304524;   591; 392,23755;2020-06-14;0,0440;  26;  150674;FALSE; 78;city;RJ
Rio de Janeiro;3304557; 41768; 621,64910;2020-06-14;0,1207;5043; 6718903;FALSE; 93;city;RJ
Santa Maria Madalena;3304607;     8;  76,89350;2020-06-14;0,0000;   0;   10404;FALSE; 50;city;RJ
Santo AntÃ´nio de PÃ¡dua;3304706;   219; 515,54886;2020-06-14;0,0137;   3;   42479;FALSE; 56;city;RJ
SÃ£o FidÃ©lis;3304805;   125; 323,25636;2020-06-14;0,0000;   0;   38669;FALSE; 64;city;RJ
SÃ£o Francisco de Itabapoana;3304755;   106; 251,15508;2020-06-14;0,0755;   8;   42205;FALSE; 66;city;RJ
SÃ£o GonÃ§alo;3304904;  2890; 266,39898;2020-06-14;0,0965; 279; 1084839;FALSE; 84;city;RJ
SÃ£o JoÃ£o da Barra;3305000;   161; 445,95867;2020-06-14;0,0435;   7;   36102;FALSE; 71;city;RJ
SÃ£o JoÃ£o de Meriti;3305109;  1283; 271,58842;2020-06-14;0,1177; 151;  472406;FALSE; 77;city;RJ
SÃ£o JosÃ© de UbÃ¡;3305133;    69; 962,20890;2020-06-14;0,0000;   0;    7171;FALSE; 50;city;RJ
SÃ£o JosÃ© do Vale do Rio Preto;3305158;   115; 527,64396;2020-06-14;0,0087;   1;   21795;FALSE; 49;city;RJ
SÃ£o Pedro da Aldeia;3305208;   260; 248,86098;2020-06-14;0,0231;   6;  104476;FALSE; 76;city;RJ
SÃ£o SebastiÃ£o do Alto;3305307;    11; 117,55905;2020-06-14;0,0909;   1;    9357;FALSE; 52;city;RJ
Sapucaia;3305406;   127; 696,73031;2020-06-14;0,0866;  11;   18228;FALSE; 69;city;RJ
Saquarema;3305505;   151; 169,33946;2020-06-14;0,1126;  17;   89170;FALSE; 64;city;RJ
SeropÃ©dica;3305554;   329; 399,69871;2020-06-14;0,0517;  17;   82312;FALSE; 78;city;RJ
Silva Jardim;3305604;    85; 390,37384;2020-06-14;0,0471;   4;   21774;FALSE; 61;city;RJ
Sumidouro;3305703;    19; 121,61557;2020-06-14;0,1053;   2;   15623;FALSE; 67;city;RJ
TanguÃ¡;3305752;   235; 684,95147;2020-06-14;0,0894;  21;   34309;FALSE; 71;city;RJ
TeresÃ³polis;3305802;   720; 394,31745;2020-06-14;0,0542;  39;  182594;FALSE; 77;city;RJ
Trajano de Moraes;3305901;    30; 282,32637;2020-06-14;0,0000;   0;   10626;FALSE; 71;city;RJ
TrÃªs Rios;3306008;   235; 287,27202;2020-06-14;0,0128;   3;   81804;FALSE; 73;city;RJ
ValenÃ§a;3306107;   131; 171,19036;2020-06-14;0,0534;   7;   76523;FALSE; 82;city;RJ
Varre-Sai;3306156;    17; 154,54545;2020-06-14;0,0000;   0;   11000;FALSE; 28;city;RJ
Vassouras;3306206;   169; 458,04423;2020-06-14;0,0651;  11;   36896;FALSE; 53;city;RJ
Volta Redonda;3306305;  1124; 411,70351;2020-06-14;0,0427;  48;  273012;FALSE; 83;city;RJ
NA;33; 79572; 460,88771;2020-06-14;0,0964;7672;17264943;FALSE; 94;state;RJ
Angra dos Reis;3300100;  1469; 720,85777;2020-06-13;0,0381;  56;  203785;FALSE; 76;city;RJ
AperibÃ©;3300159;    37; 314,65261;2020-06-13;0,0000;   0;   11759;FALSE; 52;city;RJ
Araruama;3300209;   257; 194,10876;2020-06-13;0,1128;  29;  132400;FALSE; 72;city;RJ
Areal;3300225;    53; 421,57175;2020-06-13;0,0189;   1;   12572;FALSE; 60;city;RJ
ArmaÃ§Ã£o dos BÃºzios;3300233;   116; 342,48598;2020-06-13;0,0345;   4;   33870;FALSE; 61;city;RJ
Arraial do Cabo;3300258;    51; 168,04508;2020-06-13;0,0784;   4;   30349;FALSE; 74;city;RJ
Barra do PiraÃ­;3300308;   295; 293,90081;2020-06-13;0,0712;  21;  100374;FALSE; 72;city;RJ
Barra Mansa;3300407;   280; 151,83394;2020-06-13;0,0821;  23;  184412;FALSE; 93;city;RJ
Belford Roxo;3300456;  1080; 211,38918;2020-06-13;0,1370; 148;  510906;FALSE; 80;city;RJ
Bom Jardim;3300506;    32; 116,59258;2020-06-13;0,0625;   2;   27446;FALSE; 68;city;RJ
Bom Jesus do Itabapoana;3300605;    80; 215,65667;2020-06-13;0,0250;   2;   37096;FALSE; 65;city;RJ
Cabo Frio;3300704;   560; 247,21333;2020-06-13;0,0464;  26;  226525;FALSE; 68;city;RJ
Cachoeiras de Macacu;3300803;   188; 318,98468;2020-06-13;0,0957;  18;   58937;FALSE; 65;city;RJ
Cambuci;3300902;    42; 270,88036;2020-06-13;0,0000;   0;   15505;FALSE; 31;city;RJ
Campos dos Goytacazes;3301009;  1208; 238,00705;2020-06-13;0,0488;  59;  507548;FALSE; 82;city;RJ
Cantagalo;3301108;     7;  34,70157;2020-06-13;0,1429;   1;   20172;FALSE; 66;city;RJ
Carapebus;3300936;    58; 355,80639;2020-06-13;0,0172;   1;   16301;FALSE; 60;city;RJ
